City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Safaga,EG,89.6,few clouds,26.73,33.94,Lamar Resort Abu Soma
5,Albany,US,79.0,broken clouds,42.6,-73.97,np.nan
18,George Town,MY,84.2,few clouds,5.41,100.34,Cititel Penang
19,Westlock,CA,78.8,clear sky,54.15,-113.87,Ramada by Wyndham Westlock
21,Arraial Do Cabo,BR,75.2,scattered clouds,-22.97,-42.03,Pousada Porto Praia
22,Carutapera,BR,85.08,light rain,-1.2,-46.02,Lidera
23,Redmond,US,75.0,clear sky,47.67,-122.12,Seattle Marriott Redmond
25,Beaufort,MY,80.01,few clouds,5.35,115.75,The Gem Hotel Beaufort
31,Katsuura,JP,75.2,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
42,Kapaa,US,80.6,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
50,Butaritari,KI,82.45,scattered clouds,3.07,172.79,Isles Sunset Lodge
53,Santa Rosa,PH,80.6,overcast clouds,14.31,121.11,Amethyst Econotel
55,Biak,ID,75.42,light rain,-0.91,122.88,Kost Ariz
56,Berkovica,BA,77.0,clear sky,44.62,18.43,Đokina čeka
67,Celestun,MX,87.55,clear sky,20.87,-90.4,Posada Lilia
68,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
69,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
73,Salalah,OM,82.4,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
81,Atuona,PF,78.48,clear sky,-9.8,-139.03,Villa Enata
87,Great Falls,US,82.4,clear sky,47.5,-111.3,La Quinta Inn & Suites by Wyndham Great Falls
88,Boende,CD,76.05,light rain,-0.22,20.87,np.nan
90,Fare,PF,78.75,broken clouds,-16.7,-151.02,Maitai Lapita Village Huahine
93,Puerto Ayora,EC,75.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
94,Hambantota,LK,80.19,broken clouds,6.12,81.12,Bungalow 63
97,Nicoya,CR,89.6,scattered clouds,10.15,-85.45,Guayacan Real
98,Pemangkat,ID,78.49,overcast clouds,1.17,108.97,Kost H.Syamsuddin
99,Westport,US,84.0,light rain,41.14,-73.36,The Westport Inn
100,Kalmunai,LK,82.51,overcast clouds,7.42,81.82,VS Villa
101,Lamar,US,90.0,broken clouds,33.67,-95.58,Kings Inn Paris TX
102,Leticia,CO,89.6,broken clouds,-4.22,-69.94,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
104,Hamilton,US,78.01,broken clouds,39.18,-84.53,Six Acres Bed & Breakfast
108,Portland,US,78.01,clear sky,45.52,-122.68,Portland Marriott City Center
110,Alamogordo,US,86.0,clear sky,32.9,-105.96,Fairfield Inn & Suites by Marriott Alamogordo
114,Kavieng,PG,82.22,broken clouds,-2.57,150.8,Nusa Island Retreat
116,San Quintin,MX,78.98,clear sky,30.48,-115.95,Old Mill Hotel
117,Cayenne,GF,80.6,light rain,4.93,-52.33,Hôtel Le Dronmi
120,Ahuimanu,US,78.8,scattered clouds,21.44,-157.84,Paradise Bay Resort
122,Namatanai,PG,79.56,light rain,-3.67,152.43,Namatanai Hotel
123,Los Llanos De Aridane,ES,78.01,few clouds,28.66,-17.92,Valle Aridane
127,Bairiki,KI,80.6,few clouds,1.33,172.98,Tarawa Boutique Hotel
130,Yellowknife,CA,78.01,scattered clouds,62.46,-114.35,The Explorer Hotel
136,Zhaoyuan,CN,80.01,clear sky,37.36,120.4,Super 8 Hotel Yantai Zhaoyuan Bus Terminal Branch
138,Morwa,IN,84.33,light rain,22.9,73.83,Morva
140,Bacolod,PH,78.42,overcast clouds,10.67,122.95,Planta Hotel & Residences
144,Ixtapa,MX,88.0,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
147,Hithadhoo,MV,83.05,broken clouds,-0.6,73.08,Scoop Guest House
148,Padang,ID,76.64,scattered clouds,-0.95,100.35,Mercure Padang
151,Vila Franca Do Campo,PT,75.2,few clouds,37.72,-25.43,Pestana Bahia Praia
153,Mangrol,IN,85.24,overcast clouds,21.12,70.12,Hotel The Royal Honours
154,Praia Da Vitoria,PT,77.0,scattered clouds,38.73,-27.07,Hotel Branco I
