City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,2020-08-02 18:22:52,-33.93,18.42,61.0,87,0,10.29,clear sky
1,Safaga,EG,2020-08-02 18:26:26,26.73,33.94,89.6,55,11,2.24,few clouds
2,Saint-Philippe,RE,2020-08-02 18:24:56,-21.36,55.77,69.8,60,90,12.75,overcast clouds
3,Oberwart,AT,2020-08-02 18:26:27,47.29,16.21,73.0,79,100,4.61,overcast clouds
4,Bluff,NZ,2020-08-02 18:24:47,-46.6,168.33,46.49,94,71,5.32,broken clouds
5,Albany,US,2020-08-02 18:20:59,42.6,-73.97,79.0,67,70,4.0,broken clouds
6,Mataura,NZ,2020-08-02 18:24:50,-46.19,168.86,47.17,95,72,2.1,broken clouds
7,Longyearbyen,SJ,2020-08-02 18:25:01,78.22,15.64,48.2,87,20,3.36,few clouds
8,Busselton,AU,2020-08-02 18:24:48,-33.65,115.33,46.0,98,49,10.63,light rain
9,Kodiak,US,2020-08-02 18:24:52,57.79,-152.41,57.2,76,1,5.82,clear sky
10,Hobart,AU,2020-08-02 18:23:57,-42.88,147.33,46.4,75,75,11.41,light rain
11,Avarua,CK,2020-08-02 18:23:15,-21.21,-159.78,60.8,100,80,1.12,broken clouds
12,Mar Del Plata,AR,2020-08-02 18:25:21,-38.0,-57.56,60.8,55,100,10.29,overcast clouds
13,Okhotsk,RU,2020-08-02 18:26:29,59.38,143.3,52.18,79,3,0.31,clear sky
14,Cherskiy,RU,2020-08-02 18:25:31,68.75,161.3,47.35,79,100,2.77,overcast clouds
15,Tiznit,MA,2020-08-02 18:25:51,29.58,-9.5,91.15,26,53,5.14,broken clouds
16,Aquidaba,BR,2020-08-02 18:26:29,-10.28,-37.02,74.46,80,75,11.48,light rain
17,Hofn,IS,2020-08-02 18:25:34,64.25,-15.21,53.6,87,90,8.05,shower rain
18,George Town,MY,2020-08-02 18:22:23,5.41,100.34,84.2,79,20,4.7,few clouds
19,Westlock,CA,2020-08-02 18:26:30,54.15,-113.87,78.8,53,1,9.17,clear sky
20,Kruisfontein,ZA,2020-08-02 18:26:30,-34.0,24.73,69.01,41,0,9.91,clear sky
21,Arraial Do Cabo,BR,2020-08-02 18:24:59,-22.97,-42.03,75.2,53,40,10.29,scattered clouds
22,Carutapera,BR,2020-08-02 18:21:50,-1.2,-46.02,85.08,64,23,8.16,light rain
23,Redmond,US,2020-08-02 18:21:51,47.67,-122.12,75.0,68,8,1.01,clear sky
24,Mpophomeni,ZA,2020-08-02 18:26:31,-29.57,30.19,59.0,91,0,5.01,clear sky
25,Beaufort,MY,2020-08-02 18:26:31,5.35,115.75,80.01,100,20,2.48,few clouds
26,Chervona Sloboda,UA,2020-08-02 18:26:31,49.38,32.15,63.61,74,56,8.23,broken clouds
27,Caceres,ES,2020-08-02 18:24:54,39.52,-6.37,91.99,23,36,8.01,scattered clouds
28,Punta Arenas,CL,2020-08-02 18:22:53,-53.15,-70.92,44.6,65,34,20.8,scattered clouds
29,New Norfolk,AU,2020-08-02 18:25:09,-42.78,147.06,46.0,85,99,1.01,light rain
30,Liezen,AT,2020-08-02 18:26:32,47.57,14.23,69.01,82,94,3.36,light rain
31,Katsuura,JP,2020-08-02 18:25:34,35.13,140.3,75.2,88,20,4.7,few clouds
32,Ushuaia,AR,2020-08-02 18:24:47,-54.8,-68.3,41.0,75,40,24.16,scattered clouds
33,Ilulissat,GL,2020-08-02 18:24:36,69.22,-51.1,50.0,61,20,5.82,few clouds
34,Rikitea,PF,2020-08-02 18:24:50,-23.12,-134.97,72.68,76,57,12.37,broken clouds
35,Vaini,TO,2020-08-02 18:24:45,-21.2,-175.2,73.4,88,75,8.05,broken clouds
36,Airai,TL,2020-08-02 18:25:59,-8.93,125.41,52.81,91,52,1.77,broken clouds
37,Saskylakh,RU,2020-08-02 18:25:23,71.92,114.08,62.37,64,82,4.29,light rain
38,Tuatapere,NZ,2020-08-02 18:25:10,-46.13,167.68,44.73,90,68,2.77,broken clouds
39,Coquimbo,CL,2020-08-02 18:26:34,-29.95,-71.34,62.6,59,77,11.41,broken clouds
40,Pevek,RU,2020-08-02 18:26:34,69.7,170.31,36.93,85,98,1.72,overcast clouds
41,Grindavik,IS,2020-08-02 18:24:56,63.84,-22.43,53.6,81,75,13.87,broken clouds
42,Kapaa,US,2020-08-02 18:24:42,22.08,-159.32,80.6,69,1,11.41,clear sky
43,Kaitangata,NZ,2020-08-02 18:24:40,-46.28,169.85,50.0,85,82,4.0,broken clouds
44,Hushitai,CN,2020-08-02 18:26:35,41.93,123.51,73.4,94,40,8.95,scattered clouds
